FullName;Country;Party;EPG;Start;End;vote1;vote2;vote3
Jonathan BULLOCK;United Kingdom;United Kingdom Independence Party;Europe of Freedom and Direct Democracy Group;01.08.2017;31 12 2019;0;0;0
Francis ZAMMIT DIMECH;Malta;Partit Nazzjonalista;Group of the European People's Party (Christian Democrats);24.06.2017;31 12 2019;0;0;0
Dennis RADTKE;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);24.07.2017;31 12 2019;0;0;0
France JAMET;France;Rassemblement national;Europe of Nations and Freedom Group;21.07.2017;31 12 2019;0;0;0
Baroness Nosheena MOBARIK;United Kingdom;Conservative Party;European Conservatives and Reformists Group;08.09.2017;31 12 2019;0;0;0
Răzvan POPA;Romania;Partidul Social Democrat;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;13.09.2017;31 12 2019;0;0;0
Jiří PAYNE;Czech Republic;Strana svobodných občanů;Europe of Freedom and Direct Democracy Group;05.09.2017;31 12 2019;0;0;0
Asim ADEMOV;Bulgaria;Citizens for European Development of Bulgaria;Group of the European People's Party (Christian Democrats);14.09.2017;31 12 2019;0;0;0
Rory PALMER;United Kingdom;Labour Party;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;03.10.2017;31 12 2019;0;0;0
Thomas WAITZ;Austria;Die Grünen - Die Grüne Alternative;Group of the Greens/European Free Alliance;10.11.2017;31 12 2019;0;0;0
Martin SCHIRDEWAN;Germany;DIE LINKE.;Confederal Group of the European United Left - Nordic Green Left;08.11.2017;31 12 2019;0;0;0
Jörg MEUTHEN;Germany;Alternative für Deutschland;Europe of Freedom and Direct Democracy Group;08.11.2017;31 12 2019;0;0;0
Caroline NAGTEGAAL;Netherlands;Volkspartij voor Vrijheid en Democratie;Group of the Alliance of Liberals and Democrats for Europe;14.11.2017;31 12 2019;0;0;0
Lukas MANDL;Austria;Österreichische Volkspartei;Group of the European People's Party (Christian Democrats);30.11.2017;31 12 2019;0;0;0
Geoffroy DIDIER;France;Les Républicains;Group of the European People's Party (Christian Democrats);01.12.2017;31 12 2019;0;0;0
Michael DETJEN;Germany;Sozialdemokratische Partei Deutschlands;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;01.01.2018;31 12 2019;0;0;0
Maria Gabriela ZOANĂ;Romania;Partidul Social Democrat;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;30.01.2018;31 12 2019;0;0;0
Jacques COLOMBIER;France;Rassemblement national;Europe of Nations and Freedom Group;02.02.2018;31 12 2019;0;0;0
Elsi KATAINEN;Finland;Suomen Keskusta;Group of the Alliance of Liberals and Democrats for Europe;01.03.2018;31 12 2019;0;0;0
Miroslavs MITROFANOVS;Latvia;Latvijas Krievu savienība;Group of the Greens/European Free Alliance;05.03.2018;31 12 2019;0;0;0
Dobromir SOŚNIERZ;Poland;Wolność;Non-attached Members;22.03.2018;31 12 2019;0;0;0
Aleksander GABELIC;Sweden;Arbetarepartiet- Socialdemokraterna;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;04.04.2018;31 12 2019;0;0;0
Giuseppe FERRANDINO;Italy;Partito Democratico;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;17.04.2018;31 12 2019;0;0;0
Danilo Oscar LANCINI;Italy;Lega Nord;Europe of Nations and Freedom Group;17.04.2018;31 12 2019;0;0;0
Karine GLOANEC MAURIN;France;Parti socialiste;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;11.06.2018;31 12 2019;0;0;0
Mirja VEHKAPERÄ;Finland;Suomen Keskusta;Group of the Alliance of Liberals and Democrats for Europe;12.06.2018;31 12 2019;5;5;5
Romeo FRANZ;Germany;Bündnis 90/Die Grünen;Group of the Greens/European Free Alliance;03.07.2018;31 12 2019;0;0;0
Tilly METZ;Luxembourg;Déi Gréng - Les Verts;Group of the Greens/European Free Alliance;20.06.2018;31 12 2019;0;0;0
Christophe HANSEN;Luxembourg;Parti chrétien social luxembourgeois;Group of the European People's Party (Christian Democrats);02.09.2018;31 12 2019;0;0;0
Giovanni MICCICHÈ;Italy;Forza Italia;Non-attached Members;19.07.2018;19 08 2018;0;0;0
Igor GRÄZIN;Estonia;Eesti Reformierakond;Group of the Alliance of Liberals and Democrats for Europe;05.09.2018;31 12 2019;0;0;0
Stefan GEHROLD;Germany;Christlich Demokratische Union Deutschlands;Group of the European People's Party (Christian Democrats);20.09.2018;31 12 2019;0;0;0
Anders SELLSTRÖM;Sweden;Kristdemokraterna;Group of the European People's Party (Christian Democrats);03.10.2018;31 12 2019;0;0;0
Ralph PACKET;Belgium;NA;Non-attached Members;22.11.2018;31 12 2019;0;0;0
Babette WINTER;Germany;NA;Non-attached Members;10.01.2019;31 12 2019;0;0;0
Aleksejs LOSKUTOVS;Latvia;NA;Non-attached Members;24.01.2019;31 12 2019;0;0;0
